"role_id","permission_id"
"22222222-2222-2222-2222-000000000001","11111111-1111-1111-1111-000000000001"
"22222222-2222-2222-2222-000000000001","11111111-1111-1111-1111-000000000002"
"22222222-2222-2222-2222-000000000001","11111111-1111-1111-1111-000000000003"
"22222222-2222-2222-2222-000000000001","11111111-1111-1111-1111-000000000010"
"22222222-2222-2222-2222-000000000001","11111111-1111-1111-1111-000000000011"
"22222222-2222-2222-2222-000000000001","11111111-1111-1111-1111-000000000018"
"22222222-2222-2222-2222-000000000001","11111111-1111-1111-1111-000000000019"
"22222222-2222-2222-2222-000000000001","11111111-1111-1111-1111-000000000020"
"22222222-2222-2222-2222-000000000001","11111111-1111-1111-1111-000000000021"
"22222222-2222-2222-2222-000000000001","11111111-1111-1111-1111-000000000022"
"22222222-2222-2222-2222-000000000002","11111111-1111-1111-1111-000000000001"
"22222222-2222-2222-2222-000000000002","11111111-1111-1111-1111-000000000007"
"22222222-2222-2222-2222-000000000002","11111111-1111-1111-1111-000000000008"
"22222222-2222-2222-2222-000000000002","11111111-1111-1111-1111-000000000012"
"22222222-2222-2222-2222-000000000002","11111111-1111-1111-1111-000000000015"
"22222222-2222-2222-2222-000000000003","11111111-1111-1111-1111-000000000001"
"22222222-2222-2222-2222-000000000003","11111111-1111-1111-1111-000000000004"
"22222222-2222-2222-2222-000000000003","11111111-1111-1111-1111-000000000005"
"22222222-2222-2222-2222-000000000003","11111111-1111-1111-1111-000000000016"
"22222222-2222-2222-2222-000000000003","11111111-1111-1111-1111-000000000017"
"22222222-2222-2222-2222-000000000004","11111111-1111-1111-1111-000000000001"
"22222222-2222-2222-2222-000000000004","11111111-1111-1111-1111-000000000009"
"22222222-2222-2222-2222-000000000004","11111111-1111-1111-1111-000000000010"
"22222222-2222-2222-2222-000000000004","11111111-1111-1111-1111-000000000013"
"22222222-2222-2222-2222-000000000005","11111111-1111-1111-1111-000000000006"
"22222222-2222-2222-2222-000000000005","11111111-1111-1111-1111-000000000004"
"22222222-2222-2222-2222-000000000005","11111111-1111-1111-1111-000000000014"
